ID,TimePoints,Min_reflectance
7_690,0,0.21749
7_690,1,0.21648
7_690,2,0.2712
7_690,3,0.23942
7_690,4,0.25754
7_690,5,0.21359
7_690,6,0.22355
7_690,7,0.2217
10_690,0,0.17403
10_690,1,0.17714
10_690,2,0.17961
10_690,3,0.18647
10_690,4,0.18072
10_690,5,0.18022
10_690,6,0.1794
10_690,7,0.18536
12_690,0,0.13405
12_690,1,0.13776
12_690,2,0.13457
12_690,3,0.15756
12_690,4,0.13035
12_690,5,0.15715
12_690,6,0.15046
12_690,7,0.16359
13_690,0,0.17454
13_690,1,0.17829
13_690,2,0.16041
13_690,3,0.16711
13_690,4,0.18184
13_690,5,0.17676
13_690,6,0.19482
14_690,0,0.23967
14_690,1,0.20785
14_690,2,0.1851
14_690,3,0.19394
14_690,4,0.2023
14_690,5,0.2004
14_690,6,0.19658
14_690,7,0.22753
15_690,0,0.23121
15_690,1,0.21584
15_690,2,0.22879
15_690,3,0.1903
15_690,4,0.16566
15_690,5,0.20976
15_690,6,0.20845
15_690,7,0.2434
16_690,0,0.21913
16_690,1,0.21754
16_690,2,0.22221
16_690,3,0.20212
16_690,4,0.22862
17_690,1,0.23312
17_690,2,0.21524
17_690,3,0.24722
17_690,4,0.20997
17_690,5,0.22677
17_690,6,0.19759
17_690,7,0.23114
18_690,0,0.11079
18_690,1,0.10788
18_690,2,0.11349
18_690,3,0.11906
18_690,0,0.21801
19_690,1,0.18832
19_690,2,0.2017
19_690,3,0.18438
19_690,4,0.17754
19_690,5,0.1818
20_690,0,0.21887
20_690,1,0.23685
20_690,2,0.23275
21_690,0,0.18778
21_690,1,0.2014
21_690,2,0.21458
21_690,3,0.20756
21_690,4,0.2294
21_690,5,0.19277
21_690,6,0.20373
21_690,7,0.1742
22_690,0,0.21214
22_690,1,0.21089
22_690,2,0.20946
22_690,3,0.20551
22_690,4,0.20288
22_690,5,0.21233
22_690,6,0.19953
23_690,0,0.19285
23_690,1,0.21484
23_690,2,0.20039
23_690,3,0.19683
23_690,4,0.22186
23_690,5,0.21241
24_690,0,0.18926
24_690,1,0.1854
24_690,2,0.19275
24_690,3,0.18024
24_690,4,0.19066
24_690,5,0.18171
